Index	First	Quality_1	Second	Quality_2	Type	Longitude	Latitude	ElevAngle
0	2019-11-04 19:33:16	9	2019-11-05 18:45:16	9	Midnight	-111.433	76.320	-2.00
1	2019-11-05 18:45:16	9	2019-11-05 23:31:16	9	Midday	-141.179	73.214	-2.00
2	2019-11-05 23:31:16	9	2019-11-06 15:35:16	9	Midnight	-117.425	64.243	-2.00
3	2019-11-06 15:35:16	9	2019-11-07 10:05:16	9	Midday	163.333	-66.373	-2.00
4	2019-11-07 10:05:16	9	2019-11-07 16:06:16	9	Midnight	159.464	-64.783	-2.00
5	2019-11-07 16:06:16	9	2019-11-08 09:29:16	9	Midday	163.971	-62.597	-2.00
6	2019-11-08 09:29:16	9	2019-11-09 08:55:16	9	Midnight	37.861	75.289	-2.00
7	2019-11-11 12:12:16	9	2019-11-11 17:11:16	9	Midday	-44.450	70.881	-2.00
8	2019-11-11 17:11:16	9	2019-11-12 11:23:16	9	Midnight	-38.311	69.059	-2.00
9	2019-11-14 18:34:16	9	2019-11-15 07:33:16	9	Midnight	-19.832	27.052	-2.00
10	2019-11-18 07:50:16	9	2019-11-18 17:34:16	9	Midday	-14.294	44.655	-2.00
11	2019-11-18 17:34:16	9	2019-11-19 09:37:16	9	Midnight	-27.640	58.652	-2.00
12	2019-11-19 09:37:16	9	2019-11-19 17:59:16	9	Midday	-30.737	56.007	-2.00
13	2019-11-19 17:59:16	9	2019-11-20 09:32:16	9	Midnight	-30.084	55.251	-2.00
14	2019-11-20 09:32:16	9	2019-11-20 18:08:16	9	Midday	-31.179	54.059	-2.00
15	2019-11-20 18:08:16	9	2019-11-21 10:20:16	9	Midnight	-37.148	58.747	-2.00
16	2019-11-21 10:20:16	9	2019-11-21 22:24:16	9	Midday	-69.111	4.537	-2.00
17	2019-11-21 22:24:16	9	2019-11-22 06:50:16	9	Midnight	-42.833	-47.317	-2.00
18	2019-11-22 06:50:16	9	2019-11-22 18:44:16	9	Midday	-15.306	7.907	-2.00
19	2019-11-22 18:44:16	9	2019-11-23 07:50:16	9	Midnight	-22.770	26.617	-2.00
20	2019-11-23 07:50:16	9	2019-11-23 21:04:16	9	Midday	-40.233	-18.098	-2.00
21	2019-11-23 21:04:16	9	2019-11-24 09:50:16	9	Midnight	-55.194	20.512	-2.00
22	2019-11-24 09:50:16	9	2019-11-24 17:59:16	9	Midday	-32.038	55.674	-2.00
23	2020-01-06 08:12:16	9	2020-01-06 20:14:16	9	Midday	-31.904	4.693	-2.00
24	2020-01-06 20:14:16	9	2020-01-07 07:13:16	9	Midnight	-24.476	-12.865	-2.00
25	2020-01-07 07:13:16	9	2020-01-07 16:48:16	9	Midday	1.321	41.265	-2.00
26	2020-01-07 16:48:16	9	2020-01-08 08:40:16	9	Midnight	-9.497	53.099	-2.00
27	2020-01-08 08:40:16	9	2020-01-08 15:06:16	9	Midday	3.302	61.177	-2.00
28	2020-01-08 15:06:16	9	2020-01-09 08:50:16	9	Midnight	2.105	61.801	-2.00
29	2020-01-09 08:50:16	9	2020-01-09 17:44:16	9	Midday	-17.586	47.984	-2.00
30	2020-01-09 17:44:16	9	2020-01-10 08:20:16	9	Midnight	-13.786	43.554	-2.00
31	2020-01-10 08:20:16	9	2020-01-10 17:24:16	9	Midday	-11.235	46.797	-2.00
32	2020-01-10 17:24:16	9	2020-01-11 08:30:16	9	Midnight	-12.434	48.256	-2.00
33	2020-01-11 08:30:16	9	2020-01-11 15:41:16	9	Midday	0.487	58.824	-2.00
34	2020-01-11 15:41:16	9	2020-01-12 08:10:16	9	Midnight	3.036	57.345	-2.00
35	2020-01-12 08:10:16	9	2020-01-12 15:26:16	9	Midday	4.959	58.667	-2.00
36	2020-01-15 13:02:16	9	2020-01-15 20:24:16	9	Midday	-68.493	58.983	-2.00
37	2020-01-15 20:24:16	9	2020-01-16 12:52:16	9	Midnight	-67.199	58.294	-2.00
38	2020-01-16 12:52:16	9	2020-01-16 19:11:16	9	Midday	-58.033	63.276	-2.00
39	2020-01-16 19:11:16	9	2020-01-17 09:00:16	9	Midnight	-28.997	36.449	-2.00
40	2020-01-19 07:30:16	9	2020-01-19 19:08:16	9	Midday	-17.172	13.116	-2.00
41	2020-01-19 19:08:16	9	2020-01-20 08:15:16	9	Midnight	-22.757	26.860	-2.00
42	2020-01-20 08:15:16	9	2020-01-20 16:01:16	9	Midday	0.651	58.408	-2.00
43	2020-01-20 16:01:16	9	2020-01-21 08:21:16	9	Midnight	-0.062	59.056	-2.00
44	2020-01-21 08:21:16	9	2020-01-21 19:19:16	9	Midday	-24.771	25.935	-2.00
45	2020-01-21 19:19:16	9	2020-01-22 07:17:16	9	Midnight	-16.737	5.162	-2.00
46	2020-01-22 07:17:16	9	2020-01-22 19:18:16	9	Midday	-16.578	5.636	-2.00
47	2020-01-22 19:18:16	9	2020-01-23 07:13:16	9	Midnight	-16.044	4.167	-2.00
48	2020-01-23 07:13:16	9	2020-01-23 19:14:16	9	Midday	-15.511	5.697	-2.00
49	2020-01-23 19:14:16	9	2020-01-24 07:12:16	9	Midnight	-15.354	5.283	-2.00
50	2020-01-24 07:12:16	9	2020-01-24 19:26:16	9	Midday	-16.823	1.101	-2.00
51	2020-01-24 19:26:16	9	2020-01-25 07:10:16	9	Midnight	-16.542	0.295	-2.00
52	2020-01-25 07:10:16	9	2020-01-25 19:24:16	9	Midday	-16.263	1.104	-2.00
53	2020-01-25 19:24:16	9	2020-01-26 07:10:16	9	Midnight	-16.234	1.023	-2.00
54	2020-01-26 07:10:16	9	2020-01-26 19:24:16	9	Midday	-16.206	1.108	-2.00
55	2020-01-26 19:24:16	9	2020-01-27 07:08:16	9	Midnight	-15.929	0.289	-2.00
56	2020-01-27 07:08:16	9	2020-01-27 19:24:16	9	Midday	-15.902	0.365	-2.00
57	2020-01-27 19:24:16	9	2020-01-28 07:10:16	9	Midnight	-16.127	1.040	-2.00
58	2020-01-28 07:10:16	9	2020-01-28 19:21:16	9	Midday	-15.727	2.257	-2.00
59	2020-01-28 19:21:16	9	2020-01-29 07:08:16	9	Midnight	-15.453	1.431	-2.00
60	2020-01-29 07:08:16	9	2020-01-29 19:24:16	9	Midday	-15.806	0.352	-2.00
61	2020-01-29 19:24:16	9	2020-01-30 07:08:16	9	Midnight	-15.783	0.281	-2.00
62	2020-01-30 07:08:16	9	2020-01-30 19:21:16	9	Midday	-15.387	1.520	-2.00
63	2020-01-30 19:21:16	9	2020-01-31 07:05:16	9	Midnight	-14.992	0.278	-2.00
64	2020-01-31 07:05:16	9	2020-01-31 19:29:16	9	Midday	-15.972	-2.833	-2.00
65	2020-01-31 19:29:16	9	2020-02-01 07:07:16	9	Midnight	-16.204	-2.125	-2.00
66	2020-02-01 07:07:16	9	2020-02-01 19:28:16	9	Midday	-16.061	-1.689	-2.00
67	2020-02-01 19:28:16	9	2020-02-02 07:10:16	9	Midnight	-16.419	-0.543	-2.00
68	2020-02-02 07:10:16	9	2020-02-02 19:21:16	9	Midday	-15.528	2.388	-2.00
69	2020-02-02 19:21:16	9	2020-02-03 07:08:16	9	Midnight	-15.262	1.519	-2.00
70	2020-02-03 07:08:16	9	2020-02-03 19:28:16	9	Midday	-16.123	-1.361	-2.00
71	2020-02-03 19:28:16	9	2020-02-04 07:05:16	9	Midnight	-15.735	-2.687	-2.00
72	2020-02-04 07:05:16	9	2020-02-04 19:28:16	9	Midday	-15.722	-2.676	-2.00
73	2020-02-04 19:28:16	9	2020-02-05 07:05:16	9	Midnight	-15.710	-2.748	-2.00
74	2020-02-05 07:05:16	9	2020-02-05 19:31:16	9	Midday	-16.074	-4.035	-2.00
75	2020-02-05 19:31:16	9	2020-02-06 07:05:16	9	Midnight	-16.064	-4.116	-2.00
76	2020-02-06 07:05:16	9	2020-02-06 19:28:16	9	Midday	-15.680	-2.812	-2.00
77	2020-02-06 19:28:16	9	2020-02-07 07:13:16	9	Midnight	-16.671	0.709	-2.00
78	2020-02-07 07:13:16	9	2020-02-07 19:29:16	9	Midday	-16.789	0.283	-2.00
79	2020-02-07 19:29:16	9	2020-02-08 07:05:16	9	Midnight	-15.782	-3.401	-2.00
80	2020-02-08 07:05:16	9	2020-02-08 19:31:16	9	Midday	-16.026	-4.338	-2.00
81	2020-02-08 19:31:16	9	2020-02-09 07:05:16	9	Midnight	-16.021	-4.410	-2.00
82	2020-02-09 07:05:16	9	2020-02-09 19:31:16	9	Midday	-16.017	-4.449	-2.00
83	2020-02-09 19:31:16	9	2020-02-10 07:05:16	9	Midnight	-16.013	-4.518	-2.00
84	2020-02-10 07:05:16	9	2020-02-10 19:31:16	9	Midday	-16.011	-4.566	-2.00
85	2020-02-10 19:31:16	9	2020-02-11 07:05:16	9	Midnight	-16.009	-4.632	-2.00
86	2020-02-11 07:05:16	9	2020-02-11 19:33:16	9	Midday	-16.258	-5.664	-2.00
87	2020-02-11 19:33:16	9	2020-02-12 07:05:16	9	Midnight	-16.258	-5.738	-2.00
88	2020-02-12 07:05:16	9	2020-02-12 19:33:16	9	Midday	-16.258	-5.817	-2.00
89	2020-02-12 19:33:16	9	2020-02-13 07:05:16	9	Midnight	-16.260	-5.890	-2.00
90	2020-02-13 07:05:16	9	2020-02-13 19:29:16	9	Midday	-15.762	-3.930	-2.00
91	2020-02-13 19:29:16	9	2020-02-14 07:05:16	9	Midnight	-15.765	-3.974	-2.00
92	2020-02-14 07:05:16	9	2020-02-14 19:31:16	9	Midday	-16.019	-5.103	-2.00
93	2020-02-14 19:31:16	9	2020-02-15 07:10:16	9	Midnight	-16.649	-2.477	-2.00
94	2020-02-15 07:10:16	9	2020-02-15 19:33:16	9	Midday	-16.904	-3.632	-2.00
95	2020-02-15 19:33:16	9	2020-02-16 07:08:16	9	Midnight	-16.660	-4.762	-2.00
96	2020-02-16 07:08:16	9	2020-02-16 19:31:16	9	Midday	-16.417	-3.751	-2.00
97	2020-02-16 19:31:16	9	2020-02-17 07:10:16	9	Midnight	-16.675	-2.638	-2.00
98	2020-02-17 07:10:16	9	2020-02-17 19:31:16	9	Midday	-16.683	-2.722	-2.00
99	2020-02-17 19:31:16	9	2020-02-18 07:05:16	9	Midnight	-16.067	-5.642	-2.00
100	2020-02-18 07:05:16	9	2020-02-18 19:36:16	9	Midday	-16.702	-8.681	-2.00
101	2020-02-18 19:36:16	9	2020-02-19 07:00:16	9	Midnight	-16.088	-11.640	-2.00
102	2020-02-19 07:00:16	9	2020-02-19 19:31:16	9	Midday	-15.474	-8.963	-2.00
103	2020-02-19 19:31:16	9	2020-02-20 07:03:16	9	Midnight	-15.861	-7.241	-2.00
104	2020-02-20 07:03:16	9	2020-02-20 19:33:16	9	Midday	-16.124	-8.655	-2.00
105	2020-02-20 19:33:16	9	2020-02-21 07:05:16	9	Midnight	-16.387	-7.488	-2.00
106	2020-02-21 07:05:16	9	2020-02-21 19:33:16	9	Midday	-16.401	-7.692	-2.00
107	2020-02-21 19:33:16	9	2020-02-22 07:03:16	9	Midnight	-16.166	-9.041	-2.00
108	2020-02-22 07:03:16	9	2020-02-22 19:33:16	9	Midday	-16.181	-9.283	-2.00
109	2020-02-22 19:33:16	9	2020-02-23 07:05:16	9	Midnight	-16.447	-8.037	-2.00
110	2020-02-23 07:05:16	9	2020-02-23 19:26:16	9	Midday	-15.589	-3.429	-2.00
111	2020-02-23 19:26:16	9	2020-02-24 07:10:16	9	Midnight	-16.232	0.221	-2.00
112	2020-02-24 07:10:16	9	2020-02-24 19:31:16	9	Midday	-16.875	-3.580	-2.00
113	2020-02-24 19:31:16	9	2020-02-25 07:07:16	9	Midnight	-16.518	-5.767	-2.00
114	2020-02-25 07:07:16	9	2020-02-25 19:36:16	9	Midday	-17.163	-9.690	-2.00
115	2020-02-25 19:36:16	9	2020-02-26 07:03:16	9	Midnight	-16.682	-12.681	-2.00
116	2020-02-26 07:03:16	9	2020-02-26 19:38:16	9	Midday	-16.953	-14.502	-2.00
117	2020-02-26 19:38:16	9	2020-02-27 07:00:16	9	Midnight	-16.599	-16.826	-2.00
118	2020-02-27 07:00:16	9	2020-02-27 19:38:16	9	Midday	-16.621	-17.291	-2.00
119	2020-02-27 19:38:16	9	2020-02-28 06:55:16	9	Midnight	-16.018	-21.065	-2.00
120	2020-02-28 06:55:16	9	2020-02-28 19:36:16	9	Midday	-15.791	-20.203	-2.00
121	2020-02-28 19:36:16	9	2020-02-29 07:05:16	9	Midnight	-17.064	-12.774	-2.00
