Index	First	Quality_1	Second	Quality_2	Type	Longitude	Latitude	ElevAngle
0	2019-11-04 19:33:16	9	2019-11-05 18:45:16	9	Midnight	-111.433	77.326	-3.00
1	2019-11-05 18:45:16	9	2019-11-05 23:31:16	9	Midday	-141.179	74.424	-3.00
2	2019-11-05 23:31:16	9	2019-11-06 15:35:16	9	Midnight	-117.425	66.033	-3.00
3	2019-11-06 15:35:16	9	2019-11-07 10:05:16	9	Midday	163.333	-65.080	-3.00
4	2019-11-07 10:05:16	9	2019-11-07 16:06:16	9	Midnight	159.464	-63.418	-3.00
5	2019-11-07 16:06:16	9	2019-11-08 09:29:16	9	Midday	163.971	-61.131	-3.00
6	2019-11-08 09:29:16	9	2019-11-09 08:55:16	9	Midnight	37.861	76.292	-3.00
7	2019-11-11 12:12:16	9	2019-11-11 17:11:16	9	Midday	-44.450	72.108	-3.00
8	2019-11-11 17:11:16	9	2019-11-12 11:23:16	9	Midnight	-38.311	70.385	-3.00
9	2019-11-14 18:34:16	9	2019-11-15 07:33:16	9	Midnight	-19.832	30.037	-3.00
10	2019-11-18 07:50:16	9	2019-11-18 17:34:16	9	Midday	-14.294	46.992	-3.00
11	2019-11-18 17:34:16	9	2019-11-19 09:37:16	9	Midnight	-27.640	60.378	-3.00
12	2019-11-19 09:37:16	9	2019-11-19 17:59:16	9	Midday	-30.737	57.845	-3.00
13	2019-11-19 17:59:16	9	2019-11-20 09:32:16	9	Midnight	-30.084	57.111	-3.00
14	2019-11-20 09:32:16	9	2019-11-20 18:08:16	9	Midday	-31.179	55.960	-3.00
15	2019-11-20 18:08:16	9	2019-11-21 10:20:16	9	Midnight	-37.148	60.425	-3.00
16	2019-11-21 10:20:16	9	2019-11-21 22:24:16	9	Midday	-69.111	7.490	-3.00
17	2019-11-21 22:24:16	9	2019-11-22 06:50:16	9	Midnight	-42.833	-45.476	-3.00
18	2019-11-22 06:50:16	9	2019-11-22 18:44:16	9	Midday	-15.306	10.832	-3.00
19	2019-11-22 18:44:16	9	2019-11-23 07:50:16	9	Midnight	-22.770	29.328	-3.00
20	2019-11-23 07:50:16	9	2019-11-23 21:04:16	9	Midday	-40.233	-15.444	-3.00
21	2019-11-23 21:04:16	9	2019-11-24 09:50:16	9	Midnight	-55.194	23.292	-3.00
22	2019-11-24 09:50:16	9	2019-11-24 17:59:16	9	Midday	-32.038	57.424	-3.00
23	2020-01-06 08:12:16	9	2020-01-06 20:14:16	9	Midday	-31.904	7.320	-3.00
24	2020-01-06 20:14:16	9	2020-01-07 07:13:16	9	Midnight	-24.476	-10.360	-3.00
25	2020-01-07 07:13:16	9	2020-01-07 16:48:16	9	Midday	1.321	43.366	-3.00
26	2020-01-07 16:48:16	9	2020-01-08 08:40:16	9	Midnight	-9.497	54.804	-3.00
27	2020-01-08 08:40:16	9	2020-01-08 15:06:16	9	Midday	3.302	62.560	-3.00
28	2020-01-08 15:06:16	9	2020-01-09 08:50:16	9	Midnight	2.105	63.162	-3.00
29	2020-01-09 08:50:16	9	2020-01-09 17:44:16	9	Midday	-17.586	49.893	-3.00
30	2020-01-09 17:44:16	9	2020-01-10 08:20:16	9	Midnight	-13.786	45.617	-3.00
31	2020-01-10 08:20:16	9	2020-01-10 17:24:16	9	Midday	-11.235	48.760	-3.00
32	2020-01-10 17:24:16	9	2020-01-11 08:30:16	9	Midnight	-12.434	50.175	-3.00
33	2020-01-11 08:30:16	9	2020-01-11 15:41:16	9	Midday	0.487	60.337	-3.00
34	2020-01-11 15:41:16	9	2020-01-12 08:10:16	9	Midnight	3.036	58.925	-3.00
35	2020-01-12 08:10:16	9	2020-01-12 15:26:16	9	Midday	4.959	60.198	-3.00
36	2020-01-15 13:02:16	9	2020-01-15 20:24:16	9	Midday	-68.493	60.542	-3.00
37	2020-01-15 20:24:16	9	2020-01-16 12:52:16	9	Midnight	-67.199	59.890	-3.00
38	2020-01-16 12:52:16	9	2020-01-16 19:11:16	9	Midday	-58.033	64.654	-3.00
39	2020-01-16 19:11:16	9	2020-01-17 09:00:16	9	Midnight	-28.997	38.849	-3.00
40	2020-01-19 07:30:16	9	2020-01-19 19:08:16	9	Midday	-17.172	15.984	-3.00
41	2020-01-19 19:08:16	9	2020-01-20 08:15:16	9	Midnight	-22.757	29.563	-3.00
42	2020-01-20 08:15:16	9	2020-01-20 16:01:16	9	Midday	0.651	60.071	-3.00
