"site","Lon","Lat","Lon.2.5%","Lon.40%","Lon.80%","Lon.97.25%","Lat.2.5%","Lat.40%","Lat.80%","Lat.97.25%","Arrival","Departure","mask","tag.loc"
"brgr",-0.612068965517238,54.3073770491803,-5.61206896551724,-3.11206896551724,-0.112068965517238,-0.112068965517238,52.3073770491803,52.8073770491803,56.8073770491803,58.3073770491803,NA,2009-07-04 11:58:00,"land","Methwold Hythe"
"brgr",0.853448275862064,54.8073770491803,-3.64655172413794,-1.14655172413794,2.85344827586206,4.85344827586206,52.3073770491803,53.8073770491803,55.8073770491803,56.8073770491803,NA,2009-08-10 00:00:00,"none","Methwold Hythe"
"wgr",-15.5086206896552,7.01229508196721,-19.5086206896552,-17.0086206896552,-12.0086206896552,-10.5086206896552,-8.98770491803279,-3.48770491803279,11.5122950819672,18.5122950819672,2009-10-17 00:48:00,2010-01-11 01:02:30,"none","Methwold Hythe"
"wgr",-12.6120689655172,0.340163934426229,-16.1120689655172,-14.6120689655172,-11.1120689655172,-9.61206896551724,-12.1598360655738,-6.65983606557377,4.84016393442623,8.84016393442623,2010-01-12 12:59:00,2010-02-22 13:10:00,"none","Methwold Hythe"
"wgr",-16.0086206896552,11.5122950819672,-17.0086206896552,-16.5086206896552,-14.0086206896552,-11.5086206896552,7.01229508196721,10.5122950819672,13.5122950819672,16.0122950819672,2009-10-17 00:48:00,2010-01-11 01:02:30,"land","Methwold Hythe"
"wgr",-11.1120689655172,6.84016393442623,-15.1120689655172,-15.1120689655172,-10.6120689655172,-10.6120689655172,6.34016393442623,6.34016393442623,11.3401639344262,11.8401639344262,2010-01-12 12:59:00,2010-02-22 13:10:00,"land","Methwold Hythe"
