"site","Lon","Lat","Lon.2.5%","Lon.40%","Lon.80%","Lon.97.25%","Lat.2.5%","Lat.40%","Lat.80%","Lat.97.25%","Arrival","Departure","mask","tag.loc"
"wgr",-16.6120689655172,15.7172131147541,-17.1120689655172,-17.1120689655172,-14.6120689655172,-13.1120689655172,10.2172131147541,11.2172131147541,23.2172131147541,26.2172131147541,2017-09-02 00:27:43.899314,2018-03-29 12:36:39.692129,"land","Orlestone Forest"
"wgr",-15.6120689655172,14.8073770491803,-17.1120689655172,-17.1120689655172,-14.1120689655172,-13.1120689655172,9.80737704918033,10.3073770491803,28.3073770491803,28.3073770491803,2018-10-21 11:45:04,NA,"land","Orlestone Forest"
"wgr",-16.5948275862069,15.2172131147541,-19.5948275862069,-18.0948275862069,-14.5948275862069,-12.5948275862069,-3.2827868852459,4.7172131147541,22.2172131147541,26.7172131147541,2017-09-02 00:27:43.899314,2018-03-29 12:36:39.692129,"none","Orlestone Forest"
"wgr",-15.6120689655172,13.3073770491803,-18.6120689655172,-17.1120689655172,-14.1120689655172,-12.6120689655172,-34.6926229508197,-20.1926229508197,40.8073770491803,51.8073770491803,2018-10-21 11:45:04,NA,"none","Orlestone Forest"
