"site","Lon","Lat","Lon.2.5%","Lon.40%","Lon.80%","Lon.97.25%","Lat.2.5%","Lat.40%","Lat.80%","Lat.97.25%","Arrival","Departure","mask","tag.loc"
"wgr",-17.0948275862069,14.6434426229508,-17.0948275862069,-17.0948275862069,-16.0948275862069,-14.5948275862069,11.1434426229508,11.1434426229508,23.1434426229508,28.1434426229508,2012-09-28 13:01:22,2012-10-12 00:57:16,"land","Grafham Water"
"wgr",-16.5603448275862,13.1352459016393,-17.0603448275862,-17.0603448275862,-15.0603448275862,-14.0603448275862,10.1352459016393,11.6352459016393,17.6352459016393,20.1352459016393,2012-10-13 12:52:17,2013-02-10 13:11:45,"land","Grafham Water"
"wgr",-13.1293103448276,8.2172131147541,-16.6293103448276,-15.6293103448276,-11.6293103448276,-9.62931034482759,6.7172131147541,7.2172131147541,20.2172131147541,28.2172131147541,2013-02-12 01:12:43,2013-03-23 01:00:34,"land","Grafham Water"
"brgr",-0.25,53.8073770491803,-4.75,-3.75,1.25,5.75,50.8073770491803,51.8073770491803,55.3073770491803,56.8073770491803,NA,2012-07-07 11:59:43,"land","Grafham Water"
"wgr",-17.0948275862069,7.14344262295081,-20.5948275862069,-18.5948275862069,-15.0948275862069,-13.5948275862069,-28.8565573770492,-14.3565573770492,23.1434426229508,43.1434426229508,2012-09-28 13:01:22,2012-10-12 00:57:16,"none","Grafham Water"
"wgr",-16.5603448275862,12.6352459016393,-20.5603448275862,-18.5603448275862,-14.5603448275862,-13.0603448275862,0.135245901639344,6.63524590163934,18.1352459016393,23.6352459016393,2012-10-13 12:52:17,2013-02-10 13:11:45,"none","Grafham Water"
"wgr",-13.1293103448276,1.2172131147541,-16.6293103448276,-14.6293103448276,-11.6293103448276,-10.1293103448276,-28.2827868852459,-16.7827868852459,16.7172131147541,26.2172131147541,2013-02-12 01:12:43,2013-03-23 01:00:34,"none","Grafham Water"
"brgr",0.75,54.3073770491803,-5.25,-3.25,3.75,5.75,50.8073770491803,51.8073770491803,55.8073770491803,56.8073770491803,NA,2012-07-07 11:59:43,"none","Grafham Water"
