"site","Lon","Lat","Lon.2.5%","Lon.40%","Lon.80%","Lon.97.25%","Lat.2.5%","Lat.40%","Lat.80%","Lat.97.25%","Arrival","Departure","mask","tag.loc"
"wgr",-16.0948275862069,12.2581967213115,-17.0948275862069,-17.0948275862069,-14.5948275862069,-13.0948275862069,9.75819672131147,10.7581967213115,18.7581967213115,21.2581967213115,2016-10-05 00:33:22,2017-03-25 13:05:10,"land","Orlestone Forest"
"brgr",1.04310344827587,49.8483606557377,-3.45689655172413,-1.45689655172413,4.04310344827587,5.54310344827587,46.3483606557377,47.8483606557377,50.8483606557377,51.8483606557377,NA,2016-06-25 23:53:17,"land","Orlestone Forest"
"wgr",-16.0775862068965,12.6352459016393,-19.5775862068965,-18.0775862068965,-14.0775862068965,-12.0775862068965,2.13524590163934,6.13524590163934,19.1352459016393,24.6352459016393,2016-10-05 00:33:22,2017-02-18 01:17:00,"none","Orlestone Forest"
"wgr",-16.6120689655172,2.84836065573771,-19.6120689655172,-18.1120689655172,-14.6120689655172,-13.1120689655172,-32.1516393442623,-20.6516393442623,21.8483606557377,42.3483606557377,2017-02-19 13:21:21,2017-03-25 13:05:10,"none","Orlestone Forest"
"brgr",0.543103448275872,49.8483606557377,-3.45689655172413,-1.45689655172413,4.04310344827587,5.54310344827587,46.3483606557377,47.8483606557377,50.8483606557377,51.8483606557377,NA,2016-06-25 23:53:17,"none","Orlestone Forest"
