"site","Lon","Lat","Lon.2.5%","Lon.40%","Lon.80%","Lon.97.25%","Lat.2.5%","Lat.40%","Lat.80%","Lat.97.25%","Arrival","Departure","mask","tag.loc"
"wgr",-16.1120689655172,11.8401639344262,-16.6120689655172,-16.6120689655172,-14.6120689655172,-13.1120689655172,10.3401639344262,10.8401639344262,15.3401639344262,19.8401639344262,2015-09-25 00:48:41,2016-01-23 13:16:46,"land","Orlestone Forest"
"wgr",-16.1120689655172,10.8401639344262,-18.1120689655172,-17.1120689655172,-14.1120689655172,-12.6120689655172,-0.159836065573771,4.34016393442623,15.3401639344262,19.3401639344262,2015-09-25 00:48:41,2016-01-23 13:16:46,"none","Orlestone Forest"
"brgr",1.40517241379311,49.8893442622951,-4.09482758620689,-1.59482758620689,2.90517241379311,4.40517241379311,47.8893442622951,48.8893442622951,51.3893442622951,52.8893442622951,NA,2015-07-06 12:02:12,"land","Orlestone Forest"
"brgr",0.40517241379311,49.8893442622951,-3.59482758620689,-1.09482758620689,2.40517241379311,4.40517241379311,47.8893442622951,48.8893442622951,50.8893442622951,52.3893442622951,NA,2015-07-06 12:02:12,"none","Orlestone Forest"
