"site","Lon","Lat","Lon.2.5%","Lon.40%","Lon.80%","Lon.97.25%","Lat.2.5%","Lat.40%","Lat.80%","Lat.97.25%","Arrival","Departure","mask","tag.loc"
"wgr",-16.0775862068965,12.2581967213115,-17.0775862068965,-17.0775862068965,-14.0775862068965,-9.57758620689654,8.25819672131147,10.2581967213115,15.2581967213115,24.7581967213115,2012-10-02 00:40:39,2013-03-16 13:08:38,"land","Methwold Hythe"
"wgr",-16.5086206896552,3.52049180327869,-23.5086206896552,-19.5086206896552,-14.5086206896552,-9.00862068965517,-45.4795081967213,-21.4795081967213,31.0204918032787,76.5204918032787,2012-10-02 00:40:39,2012-10-08 12:55:38,"none","Methwold Hythe"
"wgr",-16.0775862068965,7.25819672131147,-20.5775862068965,-18.5775862068965,-14.0775862068965,-12.5775862068965,-7.74180327868853,-1.74180327868853,13.7581967213115,18.7581967213115,2012-10-10 00:56:38,2013-03-16 13:08:38,"none","Methwold Hythe"
