"site","Lon","Lat","Lon.2.5%","Lon.40%","Lon.80%","Lon.97.25%","Lat.2.5%","Lat.40%","Lat.80%","Lat.97.25%","Arrival","Departure","mask","tag.loc"
"wgr",-14.6120689655172,10.8401639344262,-17.1120689655172,-15.6120689655172,-13.6120689655172,-11.1120689655172,7.84016393442623,9.84016393442623,14.3401639344262,20.8401639344262,2015-09-25 00:38:10,2016-01-31 13:11:10,"land","Grafham Water"
"brgr",-0.0258620689655231,49.3893442622951,-4.02586206896552,-2.02586206896552,1.47413793103448,3.47413793103448,46.8893442622951,48.3893442622951,49.8893442622951,51.3893442622951,NA,2015-07-12 12:12:19,"land","Grafham Water"
"wgr",-14.6120689655172,10.7991803278689,-17.6120689655172,-16.1120689655172,-13.6120689655172,-11.6120689655172,0.799180327868854,5.29918032786885,14.7991803278689,19.7991803278689,2015-10-14 12:49:04,2016-01-31 13:11:10,"none","Grafham Water"
"brgr",-0.0431034482758434,49.3893442622951,-5.54310344827584,-2.04310344827584,1.45689655172416,2.95689655172416,45.3893442622951,48.3893442622951,50.3893442622951,51.3893442622951,NA,2015-07-12 12:12:19,"none","Grafham Water"
