"site","Lon","Lat","Lon.2.5%","Lon.40%","Lon.80%","Lon.97.25%","Lat.2.5%","Lat.40%","Lat.80%","Lat.97.25%","Arrival","Departure","mask","tag.loc"
"wgr",-16.5258620689655,12.5532786885246,-17.0258620689655,-17.0258620689655,-12.5258620689655,-11.0258620689655,7.05327868852459,8.05327868852459,15.0532786885246,17.0532786885246,2015-10-07 00:57:26,2016-02-04 12:58:22,"land","Methwold Hythe"
"wgr",-16.0258620689655,3.05327868852459,-21.0258620689655,-18.5258620689655,-12.0258620689655,-9.02586206896552,-12.4467213114754,-4.44672131147541,12.5532786885246,18.5532786885246,2015-10-07 00:57:26,2016-02-04 12:58:22,"none","Methwold Hythe"
"brgr",0.887931034482762,52.3483606557377,-3.11206896551724,-1.11206896551724,3.38793103448276,5.38793103448276,49.8483606557377,50.8483606557377,53.3483606557377,54.3483606557377,NA,2015-07-09 00:04:49,"land","Methwold Hythe"
"brgr",0.887931034482762,52.3483606557377,-3.61206896551724,-1.11206896551724,3.38793103448276,5.38793103448276,49.8483606557377,50.8483606557377,53.3483606557377,54.3483606557377,NA,2015-07-09 00:04:49,"none","Methwold Hythe"
