"site","Lon","Lat","Lon.2.5%","Lon.40%","Lon.80%","Lon.97.25%","Lat.2.5%","Lat.40%","Lat.80%","Lat.97.25%","Arrival","Departure","mask","tag.loc"
"wgr",-16.6120689655172,12.422131147541,-16.6120689655172,-16.6120689655172,-15.6120689655172,-15.6120689655172,11.922131147541,11.922131147541,13.922131147541,16.422131147541,2015-10-13 00:57:45,2015-12-09 13:01:33,"land","Methwold Hythe"
"wgr",-16.198275862069,11.1024590163934,-16.698275862069,-16.198275862069,-15.698275862069,-15.198275862069,11.1024590163934,11.1024590163934,13.1024590163934,14.6024590163934,2015-12-11 01:01:09,2016-02-01 13:17:13,"land","Methwold Hythe"
"brgr",1.47413793103448,49.8893442622951,-3.52586206896552,-1.52586206896552,3.47413793103448,4.97413793103448,47.8893442622951,48.8893442622951,51.3893442622951,52.3893442622951,NA,2015-07-17 11:56:59,"land","Methwold Hythe"
"wgr",-17.0948275862069,8.3811475409836,-19.5948275862069,-18.0948275862069,-16.0948275862069,-15.0948275862069,-0.118852459016395,3.8811475409836,11.8811475409836,15.3811475409836,2015-10-13 00:57:45,2016-02-01 13:17:13,"none","Methwold Hythe"
"brgr",0.474137931034477,50.3893442622951,-3.52586206896552,-1.52586206896552,3.47413793103448,4.97413793103448,47.8893442622951,48.8893442622951,51.3893442622951,51.8893442622951,NA,2015-07-17 11:56:59,"none","Methwold Hythe"
