"site","Lon","Lat","Lon.2.5%","Lon.40%","Lon.80%","Lon.97.25%","Lat.2.5%","Lat.40%","Lat.80%","Lat.97.25%","Arrival","Departure","mask","tag.loc"
"wgr",-14.0948275862069,10.2991803278689,-17.0948275862069,-15.0948275862069,-12.0948275862069,-9.09482758620689,7.29918032786885,7.79918032786885,16.7991803278689,25.2991803278689,2012-09-15 00:45:16,2013-03-25 13:00:17,"land","Methwold Hythe"
"wgr",-15.0775862068965,3.2172131147541,-20.5775862068965,-16.5775862068965,-13.0775862068965,-10.5775862068965,-6.2827868852459,-2.2827868852459,12.2172131147541,21.7172131147541,2012-10-13 12:48:17,2013-01-31 01:17:17,"none","Methwold Hythe"
"wgr",-14.6293103448276,8.29918032786885,-17.6293103448276,-16.1293103448276,-13.1293103448276,-11.6293103448276,-14.2008196721311,-4.70081967213115,15.7991803278689,22.7991803278689,2013-02-01 13:06:18,2013-03-25 13:00:17,"none","Methwold Hythe"
