"site","Lon","Lat","Lon.2.5%","Lon.40%","Lon.80%","Lon.97.25%","Lat.2.5%","Lat.40%","Lat.80%","Lat.97.25%","mask","tag.loc"
"wgr",-2.7155172413793,7.7172131147541,-4.7155172413793,-3.7155172413793,-1.2155172413793,-0.215517241379303,-10.7827868852459,-1.2827868852459,19.7172131147541,26.7172131147541,"none","Ghana"
"wgr",-2.7155172413793,7.7172131147541,-4.7155172413793,-3.7155172413793,-1.2155172413793,-0.215517241379303,5.2172131147541,5.2172131147541,19.7172131147541,26.7172131147541,"land","Ghana"
"brgr",14.7155172413793,42.9303278688525,11.2155172413793,13.2155172413793,15.7155172413793,17.2155172413793,38.4303278688525,41.9303278688525,44.9303278688525,46.4303278688525,"none","Ghana"
"brgr",14.2155172413793,42.4303278688525,10.2155172413793,13.2155172413793,16.2155172413793,17.7155172413793,40.9303278688525,41.4303278688525,44.9303278688525,47.4303278688525,"land","Ghana"
