"site","Lon","Lat","Lon.2.5%","Lon.40%","Lon.80%","Lon.97.25%","Lat.2.5%","Lat.40%","Lat.80%","Lat.97.25%","mask","tag.loc","year"
"brgr",1.49137931034483,49.3893442622951,-1.50862068965517,0.491379310344826,1.99137931034483,3.99137931034483,47.8893442622951,48.8893442622951,50.3893442622951,51.3893442622951,"none","Gambia",1
"brgr",1.31896551724139,54.7663934426229,-1.68103448275861,0.318965517241395,2.81896551724139,4.31896551724139,52.2663934426229,53.7663934426229,55.2663934426229,56.2663934426229,"none","Gambia",2
"brgr",1.49137931034483,49.3893442622951,-1.50862068965517,0.991379310344826,1.99137931034483,3.99137931034483,47.8893442622951,48.8893442622951,49.8893442622951,51.3893442622951,"land","Gambia",1
"brgr",1.3477011494253,52.766393442623,-3.6522988505747,0.681034482758629,1.3477011494253,2.3477011494253,51.766393442623,52.5997267759563,52.766393442623,55.4330601092896,"land","Gambia",2
"wgr",-16.6293103448276,13.8401639344262,-18.1293103448276,-17.6293103448276,-16.1293103448276,-15.6293103448276,6.84016393442623,9.84016393442623,18.8401639344262,21.8401639344262,"none","Gambia",1
"wgr",-16.0948275862069,11.7172131147541,-19.5948275862069,-17.0948275862069,-14.5948275862069,-10.0948275862069,-6.2827868852459,5.7172131147541,16.2172131147541,25.2172131147541,"none","Gambia",2
"wgr",-16.5775862068965,14.1762295081967,-17.0775862068965,-17.0775862068965,-16.0775862068965,-15.5775862068965,12.1762295081967,12.1762295081967,15.6762295081967,17.1762295081967,"land","Gambia",1
"wgr",-16.5948275862069,13.2991803278689,-17.0948275862069,-17.0948275862069,-15.5948275862069,-12.5948275862069,10.7991803278689,12.2991803278689,15.7991803278689,23.2991803278689,"land","Gambia",2
