record_number,count,country,site,date,Month,time,location,latitude,longitude,ring size,ring no.,status,mig,english,french,scientific,age,sex,fat,muscle,wing,weight,bp,moult,ringer,bill skull,tarsus,tail,bill feather,bill nostril,bill+head,other bio,notes,PJ moult,wing point,2nd =,emarginate,OGC,Blood sample no.,Feather sample,Tape used,,RINGERS' KEY
1372,1,GH,Brenu,15/12/2009,Dec,0610,Brenu Beach,5.073055556,-1.423888889,AA,N00112,N,.,Grey-backed Camaroptera,Camaroptère à tête grise,Camaroptera brachyura,2,.,.,.,53,10.9,.,Wing,NA,,,,,,,,,,,,,,,,,,
1373,1,GH,Brenu,15/12/2009,Dec,0610,Brenu Beach,5.073055556,-1.423888889,AA,N00113,N,.,Red-faced Cisticola,Cisticole à face rousse,Cisticola erythrops,2,.,.,.,52,11.9,.,Wing,NA,,,,,,,,,,,,,,,,,,
3722,1,GH,Brenu,15/12/2009,Dec,0610,Brenu Beach,5.073055556,-1.423888889,B,R000058,N,.,Northern Grey-headed Sparrow,Moineau gris,Passer griseus,2,.,.,.,80,27.5,.,,NA,,,,,,,,,,,,,,,,,,
3897,1,GH,Brenu,15/12/2009,Dec,0650,Brenu Beach,5.073055556,-1.423888889,CC,S001519,N,.,Snowy-crowned Robin Chat,Cossyphe à calotte neigeuse,Cossypha niveicapilla,2,.,.,.,106,36,.,,CMH,,,,,,,,,,,,,,,,,,
2273,1,GH,Brenu,15/12/2009,Dec,0700,Brenu Beach,5.073055556,-1.423888889,A,P000079,N,Mig,Garden Warbler,Fauvette des jardins,Sylvia borin,4,.,3,1,80,18,.,None,CMH,,,,,,,,,,,,,,,,,,
3898,1,GH,Brenu,15/12/2009,Dec,0700,Brenu Beach,5.073055556,-1.423888889,CC,S001520,N,.,Simple Leaflove,Bulbul modeste,Chlorocichla simplex,2,.,.,.,96,37,.,,CMH,,,,,,,,,,,,,,,,,,
2274,1,GH,Brenu,15/12/2009,Dec,0710,Brenu Beach,5.073055556,-1.423888889,A,P000080,N,.,Slender-billed Weaver,Tisserin de Pelzeln,Ploceus pelzelni,2,.,.,.,60,13.1,.,,CMH,,,,,,,,,,,,,,,,,,
3723,1,GH,Brenu,15/12/2009,Dec,0710,Brenu Beach,5.073055556,-1.423888889,B,R000059,N,.,Northern Grey-headed Sparrow,Moineau gris,Passer griseus,4,.,.,.,.,28.1,.,,,,,,,,,,,,,,,,,,,,
3724,1,GH,Brenu,15/12/2009,Dec,0710,Brenu Beach,5.073055556,-1.423888889,B,R000060,N,.,Little Greenbul,Bulbul verdâtre,Andropadus virens,2,.,.,.,.,20.3,.,Wing,,,,,,,,,,,,,,,,,,,
2275,1,GH,Brenu,15/12/2009,Dec,0720,Brenu Beach,5.073055556,-1.423888889,A,P000081,N,.,Slender-billed Weaver,Tisserin de Pelzeln,Ploceus pelzelni,2,.,.,.,.,.,.,,CMH,,,,,,,,,,,,,,,,,,
3725,1,GH,Brenu,15/12/2009,Dec,0720,Brenu Beach,5.073055556,-1.423888889,B,R000061,N,.,Common Bulbul,Bulbul des jardins,Pycnonotus barbatus,2,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
3726,1,GH,Brenu,15/12/2009,Dec,0720,Brenu Beach,5.073055556,-1.423888889,B,R000062,N,.,Northern Grey-headed Sparrow,Moineau gris,Passer griseus,2,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
3899,1,GH,Brenu,15/12/2009,Dec,0720,Brenu Beach,5.073055556,-1.423888889,CC,S001521,N,.,Village Weaver,Tisserin gendarme,Ploceus cucullatus,2,.,.,.,.,.,.,,CMH,,,,,,,,,,,,,,,,,,
3900,1,GH,Brenu,15/12/2009,Dec,0720,Brenu Beach,5.073055556,-1.423888889,CC,S001522,N,.,Village Weaver,Tisserin gendarme,Ploceus cucullatus,2,.,.,.,.,.,.,,CMH,,,,,,,,,,,,,,,,,,
3901,1,GH,Brenu,15/12/2009,Dec,0720,Brenu Beach,5.073055556,-1.423888889,CC,S001523,N,.,African Thrush,Merle africain,Turdus pelios,2,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
3902,1,GH,Brenu,15/12/2009,Dec,0720,Brenu Beach,5.073055556,-1.423888889,CC,S001524,N,.,Simple Leaflove,Bulbul modeste,Chlorocichla simplex,2,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
4164,1,GH,Brenu,15/12/2009,Dec,0720,Brenu Beach,5.073055556,-1.423888889,So,V000019,N,.,Malachite Kingfisher,Martin-pêcheur huppée,Alcedo cristata,2,.,.,.,.,.,.,,CMH,,,,,,,,,,,,,,,,,,
4165,1,GH,Brenu,15/12/2009,Dec,0720,Brenu Beach,5.073055556,-1.423888889,So,V000020,N,.,African Pygmy Kingfisher,Martin-pêcheur pygmée,Ceyx pictus,2,.,.,.,.,.,.,Wing,IAD,,,,,,,,,,,,,,,,,,
1374,1,GH,Brenu,15/12/2009,Dec,0730,Brenu Beach,5.073055556,-1.423888889,AA,N00114,N,.,Lesser Striped Swallow,Hirondelle striée,Hirundo abyssinica,2,M,.,.,.,.,.,,IAD,,,,,,,,,,,,,,,,,,
1375,1,GH,Brenu,15/12/2009,Dec,0730,Brenu Beach,5.073055556,-1.423888889,AA,N00115,N,.,Lesser Striped Swallow,Hirondelle striée,Hirundo abyssinica,2,F,.,.,.,.,.,,IAD,,,,,,,,,,,,,,,,,,
2276,1,GH,Brenu,15/12/2009,Dec,0730,Brenu Beach,5.073055556,-1.423888889,A,P000082,N,.,Slender-billed Weaver,Tisserin de Pelzeln,Ploceus pelzelni,2,.,.,.,.,.,.,Wing,,,,,,,,,,,,,,,,,,,
2277,1,GH,Brenu,15/12/2009,Dec,0730,Brenu Beach,5.073055556,-1.423888889,A,P000083,N,.,Slender-billed Weaver,Tisserin de Pelzeln,Ploceus pelzelni,2,.,.,.,.,.,.,None,,,,,,,,,,,,,,,,,,,
2278,1,GH,Brenu,15/12/2009,Dec,0730,Brenu Beach,5.073055556,-1.423888889,A,P000084,N,.,Common Wattle-eye,Pririt à collier,Platysteira cyanea,4,.,.,.,.,.,.,None,,,,,,,,,,,,,,,,,,,
2279,1,GH,Brenu,15/12/2009,Dec,0730,Brenu Beach,5.073055556,-1.423888889,A,P000085,N,.,Common Wattle-eye,Pririt à collier,Platysteira cyanea,2,F,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
3903,1,GH,Brenu,15/12/2009,Dec,0730,Brenu Beach,5.073055556,-1.423888889,CC,S001525,N,.,Village Weaver,Tisserin gendarme,Ploceus cucullatus,2,M,.,.,.,.,.,None,IAD,,,,,,,,,,,,,,,,,,
3904,1,GH,Brenu,15/12/2009,Dec,0730,Brenu Beach,5.073055556,-1.423888889,CC,S001526,N,.,Simple Leaflove,Bulbul modeste,Chlorocichla simplex,2,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
3905,1,GH,Brenu,15/12/2009,Dec,0730,Brenu Beach,5.073055556,-1.423888889,CC,S001527,N,.,Simple Leaflove,Bulbul modeste,Chlorocichla simplex,4,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
3906,1,GH,Brenu,15/12/2009,Dec,0730,Brenu Beach,5.073055556,-1.423888889,CC,S001528,N,.,Brown-crowned Tchagra,Tchagra à tête brune,Tchagra australis,2,.,.,.,.,.,.,,NA,,,,,,,,,,,,,,,,,,
3907,1,GH,Brenu,15/12/2009,Dec,0730,Brenu Beach,5.073055556,-1.423888889,CC,S001529,N,.,Brown-crowned Tchagra,Tchagra à tête brune,Tchagra australis,2,.,.,.,.,.,.,,NA,,,,,,,,,,,,,,,,,,
1376,1,GH,Brenu,15/12/2009,Dec,0750,Brenu Beach,5.073055556,-1.423888889,AA,N00116,N,.,Bronze Mannikin,Capucin nonnette,Spermestes cucullatus,2,.,.,.,.,.,.,,CMH,,,,,,,,,,,,,,,,,,
1377,1,GH,Brenu,15/12/2009,Dec,0750,Brenu Beach,5.073055556,-1.423888889,AA,N00117,N,.,Bronze Mannikin,Capucin nonnette,Spermestes cucullatus,2,.,.,.,.,.,.,,NA,,,,,,,,,,,,,,,,,,
1378,1,GH,Brenu,15/12/2009,Dec,0750,Brenu Beach,5.073055556,-1.423888889,AA,N00118,N,.,Singing Cisticola,Cisticole chanteuse,Cisticola cantans,2,.,.,.,.,.,.,Wing,IAD,,,,,,,,,,,,,,,,,,
1379,1,GH,Brenu,15/12/2009,Dec,0750,Brenu Beach,5.073055556,-1.423888889,AA,N00119,N,.,Bronze Mannikin,Capucin nonnette,Spermestes cucullatus,2,.,.,.,.,.,.,,NA,,,,,,,,,,,,,,,,,,
1380,1,GH,Brenu,15/12/2009,Dec,0750,Brenu Beach,5.073055556,-1.423888889,AA,N00120,N,.,Grey-backed Camaroptera,Camaroptère à tête grise,Camaroptera brachyura,2,.,.,.,.,.,.,,CMH,,,,,,,,,,,,,,,,,,
2280,1,GH,Brenu,15/12/2009,Dec,0750,Brenu Beach,5.073055556,-1.423888889,A,P000086,N,Mig,Garden Warbler,Fauvette des jardins,Sylvia borin,4,.,0,0,78,18.1,.,Wing,IAD,,,,,,,,,,,,,,,,,,
2281,1,GH,Brenu,15/12/2009,Dec,0750,Brenu Beach,5.073055556,-1.423888889,A,P000087,N,.,Singing Cisticola,Cisticole chanteuse,Cisticola cantans,2,.,.,.,.,.,.,,CMH,,,,,,,,,,,,,,,,,,
2282,1,GH,Brenu,15/12/2009,Dec,0750,Brenu Beach,5.073055556,-1.423888889,A,P000088,N,.,Common Wattle-eye,Pririt à collier,Platysteira cyanea,4,.,.,.,.,.,.,,IAD,,,,,,,,,,,,,,,,,,
3727,1,GH,Brenu,15/12/2009,Dec,0750,Brenu Beach,5.073055556,-1.423888889,B,R000063,N,.,Common Bulbul,Bulbul des jardins,Pycnonotus barbatus,2,.,.,.,.,.,.,,CMH,,,,,,,,,,,,,,,,,,
3728,1,GH,Brenu,15/12/2009,Dec,0750,Brenu Beach,5.073055556,-1.423888889,B,R000064,N,.,Little Greenbul,Bulbul verdâtre,Andropadus virens,2,.,.,.,.,.,.,,CMH,,,,,,,,,,,,,,,,,,
3908,1,GH,Brenu,15/12/2009,Dec,0750,Brenu Beach,5.073055556,-1.423888889,CC,S001530,N,.,Snowy-crowned Robin Chat,Cossyphe à calotte neigeuse,Cossypha niveicapilla,3,.,.,.,.,.,.,,CMH,,,,,,,,,,,,,,,,,,
3909,1,GH,Brenu,15/12/2009,Dec,0750,Brenu Beach,5.073055556,-1.423888889,CC,S001531,N,.,Simple Leaflove,Bulbul modeste,Chlorocichla simplex,4,.,.,.,.,.,.,Wing,IAD,,,,,,,,,,,,,,,,,,
3910,1,GH,Brenu,15/12/2009,Dec,0750,Brenu Beach,5.073055556,-1.423888889,CC,S001532,N,.,African Thrush,Merle africain,Turdus pelios,2,.,.,.,.,.,.,,NA,,,,,,,,,,,,,,,,,,
3911,1,GH,Brenu,15/12/2009,Dec,0750,Brenu Beach,5.073055556,-1.423888889,CC,S001533,N,.,African Thrush,Merle africain,Turdus pelios,2,.,.,.,.,.,.,,CMH,,,,,,,,,,,,,,,,,,
3912,1,GH,Brenu,15/12/2009,Dec,0750,Brenu Beach,5.073055556,-1.423888889,CC,S001534,N,.,Simple Leaflove,Bulbul modeste,Chlorocichla simplex,2,.,.,.,.,.,.,,IAD,,,,,,,,,,,,,,,,,,
1381,1,GH,Brenu,15/12/2009,Dec,0800,Brenu Beach,5.073055556,-1.423888889,AA,N00121,N,.,Grey-backed Camaroptera,Camaroptère à tête grise,Camaroptera brachyura,4,.,.,.,.,.,.,Wing,IAD,,,,,,,,,,,,,,,,,,
1382,1,GH,Brenu,15/12/2009,Dec,0800,Brenu Beach,5.073055556,-1.423888889,AA,N00122,N,.,Grey-backed Camaroptera,Camaroptère à tête grise,Camaroptera brachyura,2,.,.,.,.,.,.,,NA,,,,,,,,,,,,,,,,,,
1383,1,GH,Brenu,15/12/2009,Dec,0800,Brenu Beach,5.073055556,-1.423888889,AA,N00123,N,.,Singing Cisticola,Cisticole chanteuse,Cisticola cantans,2,.,.,.,.,.,.,,IAD,,,,,,,,,,,,,,,,,,
1385,1,GH,Brenu,15/12/2009,Dec,0800,Brenu Beach,5.073055556,-1.423888889,AA,N00125,N,.,Splendid Sunbird,Souimanga éclatant,Cinnyris coccinigastrus,4,M,.,.,.,.,.,,CMH,,,,,,,,,,,,,,,,,,
1386,1,GH,Brenu,15/12/2009,Dec,0800,Brenu Beach,5.073055556,-1.423888889,AA,N00126,N,.,Slender-billed Weaver,Tisserin de Pelzeln,Ploceus pelzelni,2,.,.,.,.,.,.,,IAD,,,,,,,,,,,,,,,,,,
2283,1,GH,Brenu,15/12/2009,Dec,0800,Brenu Beach,5.073055556,-1.423888889,A,P000089,N,.,Northern Red Bishop,Euplecte franciscain,Euplectes franciscanus,2,.,.,.,.,.,.,,NA,,,,,,,,,,,,,,,,,,
3729,1,GH,Brenu,15/12/2009,Dec,0800,Brenu Beach,5.073055556,-1.423888889,B,R000065,N,.,Common Bulbul,Bulbul des jardins,Pycnonotus barbatus,2,.,.,.,.,.,.,,IAD,,,,,,,,,,,,,,,,,,
3913,1,GH,Brenu,15/12/2009,Dec,0800,Brenu Beach,5.073055556,-1.423888889,CC,S001535,N,.,Village Weaver,Tisserin gendarme,Ploceus cucullatus,2,.,.,.,.,.,.,,CMH,,,,,,,,,,,,,,,,,,
2284,1,GH,Brenu,15/12/2009,Dec,0810,Brenu Beach,5.073055556,-1.423888889,A,P000090,N,Mig,Common Nightingale,Rossignol philomèle,Luscinia megarhynchos,3,.,0,1,82,19.3,.,None,NA,,,,,,,,,,,,,,,,,,
3731,1,GH,Brenu,15/12/2009,Dec,0810,Brenu Beach,5.073055556,-1.423888889,B,R000067,N,.,Black-necked Weaver,Tisserin à cou noir,Ploceus nigricollis,2,.,.,.,.,.,.,,NA,,,,,,,,,,,,,,,,,,
3732,1,GH,Brenu,15/12/2009,Dec,0810,Brenu Beach,5.073055556,-1.423888889,B,R000068,N,.,Common Bulbul,Bulbul des jardins,Pycnonotus barbatus,2,.,.,.,.,.,.,,NA,,,,,,,,,,,,,,,,,,
1387,1,GH,Brenu,15/12/2009,Dec,0830,Brenu Beach,5.073055556,-1.423888889,AA,N00127,N,.,Red-faced Cisticola,Cisticole à face rousse,Cisticola erythrops,4,.,.,.,.,.,.,Wing,IAD,,,,,,,,,,,,,,,,,,
2285,1,GH,Brenu,15/12/2009,Dec,0830,Brenu Beach,5.073055556,-1.423888889,A,P000091,N,Mig,Garden Warbler,Fauvette des jardins,Sylvia borin,3,.,1,0,78,17,.,None,IAD,,,,,,,,,,,,,,,,,,
3730,1,GH,Brenu,15/12/2009,Dec,0830,Brenu Beach,5.073055556,-1.423888889,B,R000066,N,.,Northern Grey-headed Sparrow,Moineau gris,Passer griseus,4,.,.,.,.,.,.,,IAD,,,,,,,,,,,,,,,,,,
3914,1,GH,Brenu,15/12/2009,Dec,0830,Brenu Beach,5.073055556,-1.423888889,CC,S001536,N,.,Simple Leaflove,Bulbul modeste,Chlorocichla simplex,4,.,.,.,.,.,.,Wing,IAD,,,,,,,,,,,,,,,,,,
3915,1,GH,Brenu,15/12/2009,Dec,0830,Brenu Beach,5.073055556,-1.423888889,CC,S001537,N,.,Village Weaver,Tisserin gendarme,Ploceus cucullatus,2,M,.,.,.,.,.,None,IAD,,,,,,,,,,,,,,,,,,
1388,1,GH,Brenu,15/12/2009,Dec,0840,Brenu Beach,5.073055556,-1.423888889,AA,N00128,N,.,Slender-billed Weaver,Tisserin de Pelzeln,Ploceus pelzelni,2,.,.,.,.,.,.,,NA,,,,,,,,,,,,,,,,,,
1389,1,GH,Brenu,15/12/2009,Dec,0840,Brenu Beach,5.073055556,-1.423888889,AA,N00129,N,.,Red-faced Cisticola,Cisticole à face rousse,Cisticola erythrops,2,.,.,.,.,.,.,,NA,,,,,,,,,,,,,,,,,,
3733,1,GH,Brenu,15/12/2009,Dec,0840,Brenu Beach,5.073055556,-1.423888889,B,R000069,N,.,Black-necked Weaver,Tisserin à cou noir,Ploceus nigricollis,2,M,.,.,.,.,.,None,IAD,,,,,,,,,,,,,,,,,,
3734,1,GH,Brenu,15/12/2009,Dec,0840,Brenu Beach,5.073055556,-1.423888889,B,R000070,N,.,Black-necked Weaver,Tisserin à cou noir,Ploceus nigricollis,2,.,.,.,.,.,.,,NA,,,,,,,,,,,,,,,,,,
3735,1,GH,Brenu,15/12/2009,Dec,0840,Brenu Beach,5.073055556,-1.423888889,B,R000071,N,.,Common Bulbul,Bulbul des jardins,Pycnonotus barbatus,4,.,.,.,.,.,.,None,IAD,,,,,,,,,,,,,,,,,,
3736,1,GH,Brenu,15/12/2009,Dec,0840,Brenu Beach,5.073055556,-1.423888889,B,R000072,N,.,Northern Grey-headed Sparrow,Moineau gris,Passer griseus,2,.,.,.,.,.,.,Wing,IAD,,,,,,,,,,,,,,,,,,
3737,1,GH,Brenu,15/12/2009,Dec,0840,Brenu Beach,5.073055556,-1.423888889,B,R000073,N,.,Common Bulbul,Bulbul des jardins,Pycnonotus barbatus,2,.,.,.,.,.,.,,NA,,,,,,,,,,,,,,,,,,
3916,1,GH,Brenu,15/12/2009,Dec,0840,Brenu Beach,5.073055556,-1.423888889,CC,S001538,N,.,Snowy-crowned Robin Chat,Cossyphe à calotte neigeuse,Cossypha niveicapilla,3,.,.,.,.,.,.,None,IAD,,,,,,,,,,,,,,,,,,
3917,1,GH,Brenu,15/12/2009,Dec,0840,Brenu Beach,5.073055556,-1.423888889,CC,S001539,N,.,Village Weaver,Tisserin gendarme,Ploceus cucullatus,2,M,.,.,.,.,.,None,IAD,,,,,,,,,,,,,,,,,,
3918,1,GH,Brenu,15/12/2009,Dec,0840,Brenu Beach,5.073055556,-1.423888889,CC,S001540,N,.,Village Weaver,Tisserin gendarme,Ploceus cucullatus,2,.,.,.,.,.,.,,NA,,,,,,,,,,,,,,,,,,
3919,1,GH,Brenu,15/12/2009,Dec,0840,Brenu Beach,5.073055556,-1.423888889,CC,S001541,N,.,Village Weaver,Tisserin gendarme,Ploceus cucullatus,2,M,.,.,.,.,.,None,IAD,,,,,,,,,,,,,,,,,,
953,1,GH,Brenu,15/12/2009,Dec,0850,Brenu Beach,5.073055556,-1.423888889,D2,D00602,N,.,Yellowbill,Malcoha à bec jaune,Ceuthmochares aereus,2,.,.,.,.,.,.,,IAD,,,,,,,,,,,,,,,,,,
1390,1,GH,Brenu,15/12/2009,Dec,0850,Brenu Beach,5.073055556,-1.423888889,AA,N00130,N,.,Yellow White-eye,Zostérops jaune,Zosterops senegalensis,2,.,.,.,55,8.2,.,,IAD,,,,,,,,,,,,,,,,,,
1391,1,GH,Brenu,15/12/2009,Dec,0850,Brenu Beach,5.073055556,-1.423888889,AA,N00131,N,.,Yellow White-eye,Zostérops jaune,Zosterops senegalensis,2,.,.,.,52,8.9,.,None,IAD,,,,,,,,,,,,,,,,,,
3738,1,GH,Brenu,15/12/2009,Dec,0850,Brenu Beach,5.073055556,-1.423888889,B,R000074,N,.,Black-necked Weaver,Tisserin à cou noir,Ploceus nigricollis,2,.,.,.,75,24.2,.,,NA,,,,,,,,,,,,,,,,,,
3920,1,GH,Brenu,15/12/2009,Dec,0850,Brenu Beach,5.073055556,-1.423888889,CC,S001542,N,.,Village Weaver,Tisserin gendarme,Ploceus cucullatus,2,.,.,.,.,.,.,,NA,,,,,,,,,,,,,,,,,,
3921,1,GH,Brenu,15/12/2009,Dec,0850,Brenu Beach,5.073055556,-1.423888889,CC,S001543,N,.,Village Weaver,Tisserin gendarme,Ploceus cucullatus,2,.,.,.,79,31.8,.,,NA,,,,,,,,,,,,,,,,,,
1392,1,GH,Brenu,15/12/2009,Dec,0900,Brenu Beach,5.073055556,-1.423888889,AA,N00132,N,.,Copper Sunbird,Souimanga cuivré,Cinnyris cupreus,3,M,.,.,54,9,.,Complete post juvenile moult,NA,,,,,,,,,,,,,,,,,,
1394,1,GH,Brenu,15/12/2009,Dec,0900,Brenu Beach,5.073055556,-1.423888889,AA,N00134,N,.,Tawny-flanked Prinia,Prinia modest,Prinia subflava,2,.,.,.,.,.,.,,IAD,,,,,,,,,,,,,,,,,,
2286,1,GH,Brenu,15/12/2009,Dec,0900,Brenu Beach,5.073055556,-1.423888889,A,P000092,N,.,Common Wattle-eye,Pririt à collier,Platysteira cyanea,4,.,.,.,61,13.9,.,Wing,IAD,,,,,,,,,,,,,,,,,,
2287,1,GH,Brenu,15/12/2009,Dec,0900,Brenu Beach,5.073055556,-1.423888889,A,P000093,N,.,Common Wattle-eye,Pririt à collier,Platysteira cyanea,2,F,.,.,63,12.9,.,None,IAD,,,,,,,,,,,,,,,,,,
2288,1,GH,Brenu,15/12/2009,Dec,0900,Brenu Beach,5.073055556,-1.423888889,A,P000094,N,.,Common Wattle-eye,Pririt à collier,Platysteira cyanea,4,.,.,.,.,14.2,.,Wing,IAD,,,,,,,,,,,,,,,,,,
3739,1,GH,Brenu,15/12/2009,Dec,0900,Brenu Beach,5.073055556,-1.423888889,B,R000075,N,.,Black-necked Weaver,Tisserin à cou noir,Ploceus nigricollis,2,.,.,.,75,25.3,.,,NA,,,,,,,,,,,,,,,,,,
3740,1,GH,Brenu,15/12/2009,Dec,0900,Brenu Beach,5.073055556,-1.423888889,B,R000076,N,.,Northern Grey-headed Sparrow,Moineau gris,Passer griseus,2,.,.,.,83,.,.,,NA,,,,,,,,,,,,,,,,,,
3741,1,GH,Brenu,15/12/2009,Dec,0900,Brenu Beach,5.073055556,-1.423888889,B,R000077,N,.,Common Bulbul,Bulbul des jardins,Pycnonotus barbatus,2,.,.,.,89,43.8,.,,NA,,,,,,,,,,,,,,,,,,
3742,1,GH,Brenu,15/12/2009,Dec,0940,Brenu Beach,5.073055556,-1.423888889,B,R000078,N,.,Northern Grey-headed Sparrow,Moineau gris,Passer griseus,2,.,.,.,82,29.1,.,,NA,,,,,,,,,,,,,,,,,,
3743,1,GH,Brenu,15/12/2009,Dec,0940,Brenu Beach,5.073055556,-1.423888889,B,R000079,N,.,Black-necked Weaver,Tisserin à cou noir,Ploceus nigricollis,2,F,.,.,71,25.6,.,,NA,,,,,,,,,,,,,,,,,,
3744,1,GH,Brenu,15/12/2009,Dec,0940,Brenu Beach,5.073055556,-1.423888889,B,R000080,N,.,Village Weaver,Tisserin gendarme,Ploceus cucullatus,2,F,.,.,81,32.4,.,,GD,,,,,,,,,,,,,,,,,,
3922,1,GH,Brenu,15/12/2009,Dec,0940,Brenu Beach,5.073055556,-1.423888889,CC,S001544,N,.,Village Weaver,Tisserin gendarme,Ploceus cucullatus,2,M,.,.,88,40.8,.,,GD,,,,,,,,,,,,,,,,,,
3923,1,GH,Brenu,15/12/2009,Dec,1010,Brenu Beach,5.073055556,-1.423888889,CC,S001545,N,.,Yellow-crowned Gonolek,Gonolek de Barbarie,Laniarius barbarus,2,.,.,.,102,46.1,.,,NA,,,,,,,,,,,,,,,,,,
954,1,GH,Brenu,15/12/2009,Dec,1020,Brenu Beach,5.073055556,-1.423888889,D2,D00603,N,.,Laughing Dove,Tourterelle maillée,Streptopelia senegalensis,2,.,.,.,130,92,.,,NA,,,,,,,,,,,,,,,,,,
955,1,GH,Brenu,15/12/2009,Dec,1020,Brenu Beach,5.073055556,-1.423888889,D2,D00604,N,.,Laughing Dove,Tourterelle maillée,Streptopelia senegalensis,2,.,.,.,127,82,.,,NA,,,,,,,,,,,,,,,,,,
956,1,GH,Brenu,15/12/2009,Dec,1020,Brenu Beach,5.073055556,-1.423888889,D2,D00605,N,.,Laughing Dove,Tourterelle maillée,Streptopelia senegalensis,2,.,.,.,126,83,.,,NA,,,,,,,,,,,,,,,,,,
3745,1,GH,Brenu,15/12/2009,Dec,1050,Brenu Beach,5.073055556,-1.423888889,B,R000081,N,.,Common Bulbul,Bulbul des jardins,Pycnonotus barbatus,4,F,.,.,86,31.5,.,Wing,NA,,,,,,,,,,,,,,,,,,
1384,1,GH,Brenu,15/12/2009,Dec,.,Brenu Beach,5.073055556,-1.423888889,AA,N00124,L,.,LOST,PERDU,ring lost,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
1393,1,GH,Brenu,16/12/2009,Dec,0610,Brenu Beach,5.073055556,-1.423888889,AA,N00133,N,.,Red-faced Cisticola,Cisticole à face rousse,Cisticola erythrops,2,.,.,.,.,9.5,.,Wing,GD,,,,,,,,,,,,,,,,,,
3746,1,GH,Brenu,16/12/2009,Dec,0610,Brenu Beach,5.073055556,-1.423888889,B,R000082,N,.,Common Bulbul,Bulbul des jardins,Pycnonotus barbatus,2,.,.,.,88,32.2,.,,GD,,,,,,,,,,,,,,,,,,
2289,1,GH,Brenu,16/12/2009,Dec,0710,Brenu Beach,5.073055556,-1.423888889,A,P000095,N,.,Common Wattle-eye,Pririt à collier,Platysteira cyanea,2,M,.,.,66,.,.,,GD,,,,,,,,,,,,,,,,,,
2290,1,GH,Brenu,16/12/2009,Dec,0710,Brenu Beach,5.073055556,-1.423888889,A,P000096,N,.,Slender-billed Weaver,Tisserin de Pelzeln,Ploceus pelzelni,2,.,.,.,.,13.8,.,Wing,IAD,,,,,,,,,,,,,,,,,,
3747,1,GH,Brenu,16/12/2009,Dec,0710,Brenu Beach,5.073055556,-1.423888889,B,R000083,N,.,Village Weaver,Tisserin gendarme,Ploceus cucullatus,2,F,.,.,79,30.1,.,,GD,,,,,,,,,,,,,,,,,,
3924,1,GH,Brenu,16/12/2009,Dec,0710,Brenu Beach,5.073055556,-1.423888889,CC,S001546,N,.,Yellow-crowned Gonolek,Gonolek de Barbarie,Laniarius barbarus,4,.,.,.,99,42.5,.,None,IAD,,,,,,,,,,,,,,,,,,
1398,1,GH,Brenu,16/12/2009,Dec,0720,Brenu Beach,5.073055556,-1.423888889,AA,N00138,N,.,Copper Sunbird,Souimanga cuivré,Cinnyris cupreus,3,M,.,.,.,8.2,.,Full PJ (wing & body),IAD,,,,,,,,,,,,,,,,,,
3748,1,GH,Brenu,16/12/2009,Dec,0720,Brenu Beach,5.073055556,-1.423888889,B,R000084,N,.,Common Bulbul,Bulbul des jardins,Pycnonotus barbatus,4,.,.,.,96,35.6,.,None,GD,,,,,,,,,,,,,,,,,,
3749,1,GH,Brenu,16/12/2009,Dec,0720,Brenu Beach,5.073055556,-1.423888889,B,R000085,N,.,Black-necked Weaver,Tisserin à cou noir,Ploceus nigricollis,2,F,.,.,75,23,.,Wing,GD,,,,,,,,,,,,,,,,,,
3750,1,GH,Brenu,16/12/2009,Dec,0720,Brenu Beach,5.073055556,-1.423888889,B,R000086,N,.,Black-necked Weaver,Tisserin à cou noir,Ploceus nigricollis,2,F,.,.,77,25.1,.,,IAD,,,,,,,,,,,,,,,,,,
3925,1,GH,Brenu,16/12/2009,Dec,0720,Brenu Beach,5.073055556,-1.423888889,CC,S001547,N,.,Village Weaver,Tisserin gendarme,Ploceus cucullatus,2,M,.,.,85,35.6,.,,GD,,,,,,,,,,,,,,,,,,
1395,1,GH,Brenu,16/12/2009,Dec,0730,Brenu Beach,5.073055556,-1.423888889,AA,N00135,N,.,Bar-breasted Firefinch,Amarante pointé,Lagonosticta rufopicta,2,M,.,.,.,.,.,,IAD,,,,,,,,,,,,,,,,,,
1396,1,GH,Brenu,16/12/2009,Dec,0730,Brenu Beach,5.073055556,-1.423888889,AA,N00136,N,.,Bar-breasted Firefinch,Amarante pointé,Lagonosticta rufopicta,2,M,.,.,.,.,.,,GD,,,,,,,,,,,,,,,,,,
2291,1,GH,Brenu,16/12/2009,Dec,0730,Brenu Beach,5.073055556,-1.423888889,A,P000097,N,.,Red-faced Cisticola,Cisticole à face rousse,Cisticola erythrops,2,.,.,.,.,14.4,.,Wing,GD,,,,,,,,,,,,,,,,,,
