YEAR,TOTAL,species,scheme
1967,100,Luscinia megarhynchos,NL1
1967,74,Luscinia megarhynchos,CHE
1968,152,Luscinia megarhynchos,GB1
1968,181,Luscinia megarhynchos,FR1
1968,247,Luscinia megarhynchos,DEU
1968,348,Luscinia megarhynchos,DEU
1968,16,Luscinia megarhynchos                        ,ESP
1968,47,Luscinia megarhynchos,NL1
1968,76,Luscinia megarhynchos,CHE
1969,116,Luscinia megarhynchos,GB1
1969,228,Luscinia megarhynchos,FR1
1969,292,Luscinia megarhynchos,DEU
1969,208,Luscinia megarhynchos,DEU
1969,20,Luscinia megarhynchos                        ,ESP
1969,93,Luscinia megarhynchos,NL1
1969,59,Luscinia megarhynchos,CHE
1970,133,Luscinia megarhynchos,GB1
1970,143,Luscinia megarhynchos,FR1
1970,296,Luscinia megarhynchos,DEU
1970,203,Luscinia megarhynchos,DEU
1970,10,Luscinia megarhynchos                        ,ESP
1970,77,Luscinia megarhynchos,NL1
1970,78,Luscinia megarhynchos,CHE
1971,129,Luscinia megarhynchos,GB1
1971,97,Luscinia megarhynchos,FR1
1971,352,Luscinia megarhynchos,DEU
1971,219,Luscinia megarhynchos,DEU
1971,18,Luscinia megarhynchos                        ,ESP
1971,76,Luscinia megarhynchos,NL1
1971,98,Luscinia megarhynchos,CHE
1972,142,Luscinia megarhynchos,GB1
1972,1,Luscinia megarhynchos,DN1
1972,201,Luscinia megarhynchos,FR1
1972,432,Luscinia megarhynchos,DEU
1972,227,Luscinia megarhynchos,DEU
1972,14,Luscinia megarhynchos                        ,ESP
1972,111,Luscinia megarhynchos,NL1
1972,92,Luscinia megarhynchos,CHE
1973,121,Luscinia megarhynchos,GB1
1973,3,Luscinia megarhynchos,DN1
1973,276,Luscinia megarhynchos,FR1
1973,467,Luscinia megarhynchos,DEU
1973,255,Luscinia megarhynchos,DEU
1973,4,Luscinia megarhynchos                        ,ESP
1973,19,Luscinia megarhynchos                        ,ESP
1973,90,Luscinia megarhynchos,NL1
1973,91,Luscinia megarhynchos,CHE
1974,99,Luscinia megarhynchos,GB1
1974,207,Luscinia megarhynchos,FR1
1974,494,Luscinia megarhynchos,DEU
1974,341,Luscinia megarhynchos,DEU
1974,45,Luscinia megarhynchos                        ,ESP
1974,9,Luscinia megarhynchos                        ,ESP
1974,70,Luscinia megarhynchos,NL1
1974,104,Luscinia megarhynchos,CHE
1975,79,Luscinia megarhynchos,GB1
1975,19,Luscinia megarhynchos,FR1
1975,486,Luscinia megarhynchos,DEU
1975,292,Luscinia megarhynchos,DEU
1975,61,Luscinia megarhynchos                        ,ESP
1975,10,Luscinia megarhynchos                        ,ESP
1975,68,Luscinia megarhynchos,NL1
1975,91,Luscinia megarhynchos,CHE
1976,126,Luscinia megarhynchos,GB1
1976,1,Luscinia megarhynchos,DN1
1976,15,Luscinia megarhynchos,FR1
1976,494,Luscinia megarhynchos,DEU
1976,272,Luscinia megarhynchos,DEU
1976,38,Luscinia megarhynchos                        ,ESP
1976,18,Luscinia megarhynchos                        ,ESP
1976,77,Luscinia megarhynchos,NL1
1976,71,Luscinia megarhynchos,CHE
1977,161,Luscinia megarhynchos,GB1
1977,1,Luscinia megarhynchos,FR1
1977,542,Luscinia megarhynchos,DEU
1977,280,Luscinia megarhynchos,DEU
1977,38,Luscinia megarhynchos                        ,ESP
1977,14,Luscinia megarhynchos                        ,ESP
1977,130,Luscinia megarhynchos,NL1
1977,61,Luscinia megarhynchos,CHE
1978,106,Luscinia megarhynchos,GB1
1978,1,Luscinia megarhynchos,DN1
1978,0,Luscinia megarhynchos,FR1
1978,344,Luscinia megarhynchos,DEU
1978,203,Luscinia megarhynchos,DEU
1978,39,Luscinia megarhynchos                        ,ESP
1978,6,Luscinia megarhynchos                        ,ESP
1978,93,Luscinia megarhynchos,NL1
1978,47,Luscinia megarhynchos,CHE
1979,136,Luscinia megarhynchos,GB1
1979,280,Luscinia megarhynchos,DEU
1979,152,Luscinia megarhynchos,DEU
1979,24,Luscinia megarhynchos                        ,ESP
1979,20,Luscinia megarhynchos                        ,ESP
1979,116,Luscinia megarhynchos,NL1
1979,56,Luscinia megarhynchos,CHE
1980,228,Luscinia megarhynchos,GB1
1980,3,Luscinia megarhynchos,DN1
1980,4,Luscinia megarhynchos,FR1
1980,399,Luscinia megarhynchos,DEU
1980,161,Luscinia megarhynchos,DEU
1980,204,Luscinia megarhynchos                        ,ESP
1980,2,Luscinia megarhynchos                        ,ESP
1980,144,Luscinia megarhynchos,NL1
1980,114,Luscinia megarhynchos,CHE
1981,175,Luscinia megarhynchos,GB1
1981,2,Luscinia megarhynchos,DN1
1981,8,Luscinia megarhynchos,FR1
1981,355,Luscinia megarhynchos,DEU
1981,133,Luscinia megarhynchos,DEU
1981,316,Luscinia megarhynchos                        ,ESP
1981,129,Luscinia megarhynchos,NL1
1981,84,Luscinia megarhynchos,CHE
1982,177,Luscinia megarhynchos,GB1
1982,14,Luscinia megarhynchos,FR1
1982,443,Luscinia megarhynchos,DEU
1982,188,Luscinia megarhynchos,DEU
1982,533,Luscinia megarhynchos                        ,ESP
1982,4,Luscinia megarhynchos                        ,ESP
1982,119,Luscinia megarhynchos,NL1
1982,60,Luscinia megarhynchos,CHE
1982,197,Luscinia megarhynchos,ITA
1983,236,Luscinia megarhynchos,GB1
1983,23,Luscinia megarhynchos,FR1
1983,528,Luscinia megarhynchos,DEU
1983,176,Luscinia megarhynchos,DEU
1983,1077,Luscinia megarhynchos                        ,ESP
1983,12,Luscinia megarhynchos                        ,ESP
1983,146,Luscinia megarhynchos,NL1
1983,94,Luscinia megarhynchos,CHE
1983,152,Luscinia megarhynchos,ITA
1984,230,Luscinia megarhynchos,GB1
1984,72,Luscinia megarhynchos,FR1
1984,413,Luscinia megarhynchos,DEU
1984,105,Luscinia megarhynchos,DEU
1984,1176,Luscinia megarhynchos                        ,ESP
1984,120,Luscinia megarhynchos,NL1
1984,88,Luscinia megarhynchos,CHE
1984,229,Luscinia megarhynchos,ITA
1985,281,Luscinia megarhynchos,GB1
1985,2,Luscinia megarhynchos,DN1
1985,73,Luscinia megarhynchos,FR1
1985,443,Luscinia megarhynchos,DEU
1985,136,Luscinia megarhynchos,DEU
1985,1672,Luscinia megarhynchos                        ,ESP
1985,1,Luscinia megarhynchos                        ,ESP
1985,102,Luscinia megarhynchos,NL1
1985,108,Luscinia megarhynchos,CHE
1985,285,Luscinia megarhynchos,ITA
1986,300,Luscinia megarhynchos,GB1
1986,2,Luscinia megarhynchos,DN1
1986,123,Luscinia megarhynchos,FR1
1986,527,Luscinia megarhynchos,DEU
1986,128,Luscinia megarhynchos,DEU
1986,1194,Luscinia megarhynchos                        ,ESP
1986,151,Luscinia megarhynchos,NL1
1986,51,Luscinia megarhynchos,CHE
1986,384,Luscinia megarhynchos,ITA
1987,245,Luscinia megarhynchos,GB1
1987,3,Luscinia megarhynchos,DN1
1987,147,Luscinia megarhynchos,FR1
1987,614,Luscinia megarhynchos,DEU
1987,249,Luscinia megarhynchos,DEU
1987,1149,Luscinia megarhynchos                        ,ESP
1987,172,Luscinia megarhynchos,NL1
1987,44,Luscinia megarhynchos,CHE
1987,544,Luscinia megarhynchos,ITA
1988,309,Luscinia megarhynchos,GB1
1988,2,Luscinia megarhynchos,DN1
1988,268,Luscinia megarhynchos,FR1
1988,657,Luscinia megarhynchos,DEU
1988,223,Luscinia megarhynchos,DEU
1988,1134,Luscinia megarhynchos                        ,ESP
1988,350,Luscinia megarhynchos,NL1
1988,43,Luscinia megarhynchos,CHE
1988,1155,Luscinia megarhynchos,ITA
1989,216,Luscinia megarhynchos,GB1
1989,393,Luscinia megarhynchos,FR1
1989,568,Luscinia megarhynchos,DEU
1989,219,Luscinia megarhynchos,DEU
1989,1188,Luscinia megarhynchos                        ,ESP
1989,478,Luscinia megarhynchos,NL1
1989,54,Luscinia megarhynchos,CHE
1989,780,Luscinia megarhynchos,ITA
1990,153,Luscinia megarhynchos,GB1
1990,455,Luscinia megarhynchos,FR1
1990,471,Luscinia megarhynchos,DEU
1990,202,Luscinia megarhynchos,DEU
1990,1235,Luscinia megarhynchos                        ,ESP
1990,728,Luscinia megarhynchos,NL1
1990,51,Luscinia megarhynchos,CHE
1990,1515,Luscinia megarhynchos,ITA
1991,187,Luscinia megarhynchos,GB1
1991,1,Luscinia megarhynchos,DN1
1991,487,Luscinia megarhynchos,FR1
1991,594,Luscinia megarhynchos,DEU
1991,175,Luscinia megarhynchos,DEU
1991,982,Luscinia megarhynchos                        ,ESP
1991,491,Luscinia megarhynchos,NL1
1991,25,Luscinia megarhynchos,CHE
1991,1028,Luscinia megarhynchos,ITA
1992,207,Luscinia megarhynchos,GB1
1992,4,Luscinia megarhynchos,DN1
1992,481,Luscinia megarhynchos,FR1
1992,635,Luscinia megarhynchos,DEU
1992,173,Luscinia megarhynchos,DEU
1992,1246,Luscinia megarhynchos                        ,ESP
1992,497,Luscinia megarhynchos,NL1
1992,35,Luscinia megarhynchos,CHE
1992,818,Luscinia megarhynchos,ITA
1993,259,Luscinia megarhynchos,GB1
1993,368,Luscinia megarhynchos,FR1
1993,632,Luscinia megarhynchos,DEU
1993,173,Luscinia megarhynchos,DEU
1993,1565,Luscinia megarhynchos                        ,ESP
1993,499,Luscinia megarhynchos,NL1
1993,31,Luscinia megarhynchos,CHE
1993,1333,Luscinia megarhynchos,ITA
1994,186,Luscinia megarhynchos,GB1
1994,1,Luscinia megarhynchos,DN1
1994,230,Luscinia megarhynchos,FR1
1994,698,Luscinia megarhynchos,DEU
1994,2,Luscinia megarhynchos x Luscinia luscinia,DEU
1994,119,Luscinia megarhynchos,DEU
1994,1593,Luscinia megarhynchos                        ,ESP
1994,445,Luscinia megarhynchos,NL1
1994,42,Luscinia megarhynchos,CHE
1994,1303,Luscinia megarhynchos,ITA
1995,134,Luscinia megarhynchos,GB1
1995,2,Luscinia megarhynchos,DN1
1995,376,Luscinia megarhynchos,FR1
1995,696,Luscinia megarhynchos,DEU
1995,17,Luscinia megarhynchos x Luscinia luscinia,DEU
1995,102,Luscinia megarhynchos,DEU
