"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2015-04-27 20:43:36,FALSE,FALSE,0,FALSE,2015-04-27 20:43:36,0
2015-04-28 02:54:12,TRUE,FALSE,0,FALSE,2015-04-28 02:54:12,0
2015-04-28 20:01:33,FALSE,FALSE,0,FALSE,2015-04-28 20:01:33,0
2015-04-29 04:07:24,TRUE,FALSE,0,FALSE,2015-04-29 04:07:24,0
2015-04-29 19:50:00,FALSE,FALSE,0,FALSE,2015-04-29 19:50:00,0
2015-04-30 04:07:32,TRUE,FALSE,0,FALSE,2015-04-30 04:07:32,0
2015-04-30 19:57:42,FALSE,FALSE,0,FALSE,2015-04-30 19:57:42,0
2015-05-01 04:14:38,TRUE,FALSE,0,FALSE,2015-05-01 04:14:38,0
2015-05-01 20:04:59,FALSE,FALSE,0,FALSE,2015-05-01 20:04:59,0
2015-05-02 04:00:14,TRUE,FALSE,0,FALSE,2015-05-02 04:00:14,0
2015-05-02 19:48:13,FALSE,FALSE,0,FALSE,2015-05-02 19:48:13,0
2015-05-03 03:56:05,TRUE,FALSE,0,FALSE,2015-05-03 03:56:05,0
2015-05-03 19:59:47,FALSE,FALSE,0,FALSE,2015-05-03 19:59:47,0
2015-05-04 03:52:03,TRUE,FALSE,0,FALSE,2015-05-04 03:52:03,0
2015-05-04 19:49:20,FALSE,FALSE,0,FALSE,2015-05-04 19:49:20,0
2015-05-05 03:57:05,TRUE,FALSE,0,FALSE,2015-05-05 03:57:05,0
2015-05-05 19:55:39,FALSE,FALSE,0,FALSE,2015-05-05 19:55:39,0
2015-05-06 03:44:38,TRUE,FALSE,0,FALSE,2015-05-06 03:44:38,0
2015-05-06 20:08:13,FALSE,FALSE,0,FALSE,2015-05-06 20:08:13,0
2015-05-07 03:39:38,TRUE,FALSE,0,FALSE,2015-05-07 03:39:38,0
2015-05-07 20:12:37,FALSE,FALSE,0,FALSE,2015-05-07 20:12:37,0
2015-05-08 03:39:38,TRUE,FALSE,0,FALSE,2015-05-08 03:39:38,0
2015-05-08 20:02:14,FALSE,FALSE,0,FALSE,2015-05-08 20:02:14,0
2015-05-09 03:40:51,TRUE,FALSE,0,FALSE,2015-05-09 03:40:51,0
2015-05-09 20:09:39,FALSE,FALSE,0,FALSE,2015-05-09 20:09:39,0
2015-05-10 03:39:55,TRUE,FALSE,0,FALSE,2015-05-10 03:39:55,0
2015-05-10 20:12:38,FALSE,FALSE,0,FALSE,2015-05-10 20:12:38,0
2015-05-11 03:35:14,TRUE,FALSE,0,FALSE,2015-05-11 03:35:14,0
2015-05-11 20:11:06,FALSE,FALSE,0,FALSE,2015-05-11 20:11:06,0
2015-05-12 03:41:05,TRUE,FALSE,0,FALSE,2015-05-12 03:41:05,0
2015-05-12 20:17:14,FALSE,FALSE,0,FALSE,2015-05-12 20:17:14,0
