"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2015-05-07 20:04:23,FALSE,FALSE,0,FALSE,2015-05-07 20:04:23,0
2015-05-08 03:44:52,TRUE,FALSE,0,FALSE,2015-05-08 03:44:52,0
2015-05-08 20:14:12,FALSE,FALSE,0,FALSE,2015-05-08 20:14:12,0
2015-05-09 03:40:13,TRUE,FALSE,0,FALSE,2015-05-09 03:40:13,0
2015-05-09 20:16:11,FALSE,FALSE,0,FALSE,2015-05-09 20:16:11,0
2015-05-10 03:39:57,TRUE,FALSE,0,FALSE,2015-05-10 03:39:57,0
2015-05-10 20:11:53,FALSE,FALSE,0,FALSE,2015-05-10 20:11:53,0
2015-05-11 03:37:58,TRUE,FALSE,0,FALSE,2015-05-11 03:37:58,0
2015-05-11 20:06:11,FALSE,FALSE,0,FALSE,2015-05-11 20:06:11,0
2015-05-12 03:39:46,TRUE,FALSE,0,FALSE,2015-05-12 03:39:46,0
2015-05-12 20:11:11,FALSE,FALSE,0,FALSE,2015-05-12 20:11:11,0
2015-05-13 03:39:45,TRUE,FALSE,0,FALSE,2015-05-13 03:39:45,0
2015-05-13 20:16:11,FALSE,FALSE,0,FALSE,2015-05-13 20:16:11,0
2015-05-14 03:37:16,TRUE,FALSE,0,FALSE,2015-05-14 03:37:16,0
2015-05-14 20:03:56,FALSE,FALSE,0,FALSE,2015-05-14 20:03:56,0
2015-05-15 03:39:52,TRUE,FALSE,0,FALSE,2015-05-15 03:39:52,0
2015-05-15 20:14:25,FALSE,FALSE,0,FALSE,2015-05-15 20:14:25,0
2015-05-16 03:29:57,TRUE,FALSE,0,FALSE,2015-05-16 03:29:57,0
2015-05-16 20:22:16,FALSE,FALSE,0,FALSE,2015-05-16 20:22:16,0
2015-05-17 03:20:13,TRUE,FALSE,0,FALSE,2015-05-17 03:20:13,0
2015-05-17 20:24:25,FALSE,FALSE,0,FALSE,2015-05-17 20:24:25,0
2015-05-18 03:25:13,TRUE,FALSE,0,FALSE,2015-05-18 03:25:13,0
2015-05-18 20:27:16,FALSE,FALSE,0,FALSE,2015-05-18 20:27:16,0
2015-05-19 03:19:57,TRUE,FALSE,0,FALSE,2015-05-19 03:19:57,0
2015-05-19 20:29:17,FALSE,FALSE,0,FALSE,2015-05-19 20:29:17,0
2015-05-20 03:20:13,TRUE,FALSE,0,FALSE,2015-05-20 03:20:13,0
2015-05-20 20:27:30,FALSE,FALSE,0,FALSE,2015-05-20 20:27:30,0
2015-05-21 03:19:52,TRUE,FALSE,0,FALSE,2015-05-21 03:19:52,0
2015-05-21 20:36:11,FALSE,FALSE,0,FALSE,2015-05-21 20:36:11,0
2015-05-22 03:15:13,TRUE,FALSE,0,FALSE,2015-05-22 03:15:13,0
2015-05-22 20:23:56,FALSE,FALSE,0,FALSE,2015-05-22 20:23:56,0
2015-05-23 03:19:57,TRUE,FALSE,0,FALSE,2015-05-23 03:19:57,0
2015-05-23 20:29:12,FALSE,FALSE,0,FALSE,2015-05-23 20:29:12,0
2015-05-24 03:15:13,TRUE,FALSE,0,FALSE,2015-05-24 03:15:13,0
2015-05-24 20:14:24,FALSE,FALSE,0,FALSE,2015-05-24 20:14:24,0
2015-05-25 03:15:13,TRUE,FALSE,0,FALSE,2015-05-25 03:15:13,0
2015-05-25 20:13:56,FALSE,FALSE,0,FALSE,2015-05-25 20:13:56,0
2015-05-26 03:09:57,TRUE,FALSE,0,FALSE,2015-05-26 03:09:57,0
2015-05-26 20:26:11,FALSE,FALSE,0,FALSE,2015-05-26 20:26:11,0
2015-05-27 03:14:57,TRUE,FALSE,0,FALSE,2015-05-27 03:14:57,0
2015-05-27 20:13:24,FALSE,FALSE,0,FALSE,2015-05-27 20:13:24,0
2015-05-28 03:12:58,TRUE,FALSE,0,FALSE,2015-05-28 03:12:58,0
2015-05-28 20:31:11,FALSE,FALSE,0,FALSE,2015-05-28 20:31:11,0
2015-05-29 03:15:13,TRUE,FALSE,0,FALSE,2015-05-29 03:15:13,0
2015-05-29 20:26:11,FALSE,FALSE,0,FALSE,2015-05-29 20:26:11,0
2015-05-30 03:09:57,TRUE,FALSE,0,FALSE,2015-05-30 03:09:57,0
2015-05-30 20:28:56,FALSE,FALSE,0,FALSE,2015-05-30 20:28:56,0
2015-05-31 03:15:13,TRUE,FALSE,0,FALSE,2015-05-31 03:15:13,0
2015-05-31 20:37:40,FALSE,FALSE,0,FALSE,2015-05-31 20:37:40,0
2015-06-01 03:14:57,TRUE,FALSE,0,FALSE,2015-06-01 03:14:57,0
2015-06-01 20:28:56,FALSE,FALSE,0,FALSE,2015-06-01 20:28:56,0
2015-06-02 03:17:58,TRUE,FALSE,0,FALSE,2015-06-02 03:17:58,0
2015-06-02 20:42:30,FALSE,FALSE,0,FALSE,2015-06-02 20:42:30,0
2015-06-03 03:04:57,TRUE,FALSE,0,FALSE,2015-06-03 03:04:57,0
2015-06-03 20:42:40,FALSE,FALSE,0,FALSE,2015-06-03 20:42:40,0
2015-06-04 03:02:58,TRUE,FALSE,0,FALSE,2015-06-04 03:02:58,0
2015-06-04 20:46:11,FALSE,FALSE,0,FALSE,2015-06-04 20:46:11,0
2015-06-05 03:04:47,TRUE,FALSE,0,FALSE,2015-06-05 03:04:47,0
2015-06-05 20:46:53,FALSE,FALSE,0,FALSE,2015-06-05 20:46:53,0
2015-06-06 03:04:57,TRUE,FALSE,0,FALSE,2015-06-06 03:04:57,0
2015-06-06 20:49:12,FALSE,FALSE,0,FALSE,2015-06-06 20:49:12,0
2015-06-07 03:04:57,TRUE,FALSE,0,FALSE,2015-06-07 03:04:57,0
2015-06-07 20:52:16,FALSE,FALSE,0,FALSE,2015-06-07 20:52:16,0
2015-06-08 03:07:58,TRUE,FALSE,0,FALSE,2015-06-08 03:07:58,0
2015-06-08 20:51:11,FALSE,FALSE,0,FALSE,2015-06-08 20:51:11,0
2015-06-09 02:57:58,TRUE,FALSE,0,FALSE,2015-06-09 02:57:58,0
2015-06-09 20:47:30,FALSE,FALSE,0,FALSE,2015-06-09 20:47:30,0
2015-06-10 03:00:13,TRUE,FALSE,0,FALSE,2015-06-10 03:00:13,0
2015-06-10 20:56:11,FALSE,FALSE,0,FALSE,2015-06-10 20:56:11,0
2015-06-11 03:06:22,TRUE,FALSE,0,FALSE,2015-06-11 03:06:22,0
2015-06-11 20:52:16,FALSE,FALSE,0,FALSE,2015-06-11 20:52:16,0
2015-06-12 03:06:39,TRUE,FALSE,0,FALSE,2015-06-12 03:06:39,0
2015-06-12 20:57:30,FALSE,FALSE,0,FALSE,2015-06-12 20:57:30,0
2015-06-13 03:04:47,TRUE,FALSE,0,FALSE,2015-06-13 03:04:47,0
2015-06-13 20:56:11,FALSE,FALSE,0,FALSE,2015-06-13 20:56:11,0
2015-06-14 03:07:16,TRUE,FALSE,0,FALSE,2015-06-14 03:07:16,0
2015-06-14 20:52:16,FALSE,FALSE,0,FALSE,2015-06-14 20:52:16,0
2015-06-15 03:14:46,TRUE,FALSE,0,FALSE,2015-06-15 03:14:46,0
2015-06-15 21:01:53,FALSE,FALSE,0,FALSE,2015-06-15 21:01:53,0
2015-06-16 03:11:16,TRUE,FALSE,0,FALSE,2015-06-16 03:11:16,0
2015-06-16 20:52:57,FALSE,FALSE,0,FALSE,2015-06-16 20:52:57,0
2015-06-17 03:02:58,TRUE,FALSE,0,FALSE,2015-06-17 03:02:58,0
2015-06-17 20:57:16,FALSE,FALSE,0,FALSE,2015-06-17 20:57:16,0
2015-06-18 03:06:39,TRUE,FALSE,0,FALSE,2015-06-18 03:06:39,0
2015-06-18 20:56:53,FALSE,FALSE,0,FALSE,2015-06-18 20:56:53,0
2015-06-19 03:01:02,TRUE,FALSE,0,FALSE,2015-06-19 03:01:02,0
2015-06-19 20:46:53,FALSE,FALSE,0,FALSE,2015-06-19 20:46:53,0
2015-06-20 03:02:16,TRUE,FALSE,0,FALSE,2015-06-20 03:02:16,0
