"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2012-05-11 20:15:11,FALSE,FALSE,0,FALSE,2012-05-11 20:15:11,0
2012-05-12 03:31:31,TRUE,FALSE,0,FALSE,2012-05-12 03:31:31,0
2012-05-12 20:17:10,FALSE,FALSE,0,FALSE,2012-05-12 20:17:10,0
2012-05-13 03:29:31,TRUE,FALSE,0,FALSE,2012-05-13 03:29:31,0
2012-05-13 20:15:10,FALSE,FALSE,0,FALSE,2012-05-13 20:15:10,0
2012-05-14 03:29:30,TRUE,FALSE,0,FALSE,2012-05-14 03:29:30,0
2012-05-14 20:11:12,FALSE,FALSE,0,FALSE,2012-05-14 20:11:12,0
2012-05-15 03:27:31,TRUE,FALSE,0,FALSE,2012-05-15 03:27:31,0
2012-05-15 20:19:11,FALSE,FALSE,0,FALSE,2012-05-15 20:19:11,0
2012-05-16 03:23:31,TRUE,FALSE,0,FALSE,2012-05-16 03:23:31,0
2012-05-16 20:09:12,FALSE,FALSE,0,FALSE,2012-05-16 20:09:12,0
2012-05-17 03:27:31,TRUE,FALSE,0,FALSE,2012-05-17 03:27:31,0
2012-05-17 20:11:10,FALSE,FALSE,0,FALSE,2012-05-17 20:11:10,0
2012-05-18 03:23:30,TRUE,FALSE,0,FALSE,2012-05-18 03:23:30,0
2012-05-18 20:05:12,FALSE,FALSE,0,FALSE,2012-05-18 20:05:12,0
2012-05-19 03:31:31,TRUE,FALSE,0,FALSE,2012-05-19 03:31:31,0
2012-05-19 20:19:11,FALSE,FALSE,0,FALSE,2012-05-19 20:19:11,0
2012-05-20 03:37:30,TRUE,FALSE,0,FALSE,2012-05-20 03:37:30,0
2012-05-20 20:07:12,FALSE,FALSE,0,FALSE,2012-05-20 20:07:12,0
2012-05-21 03:29:31,TRUE,FALSE,0,FALSE,2012-05-21 03:29:31,0
2012-05-21 20:27:11,FALSE,FALSE,0,FALSE,2012-05-21 20:27:11,0
2012-05-22 03:25:31,TRUE,FALSE,0,FALSE,2012-05-22 03:25:31,0
2012-05-22 20:23:10,FALSE,FALSE,0,FALSE,2012-05-22 20:23:10,0
